paper_id	theory	paper_title	author	year	kb_file	doi	link
031	Attention Restoration Theory	The Restorative Benefits of Nature: Toward an Integrative Framework	Stephen Kaplan	1995	ART-Kaplan-1995-core.md		
031	Attention Restoration Theory	The Restorative Benefits of Nature: Toward an Integrative Framework	Stephen Kaplan	1995	ART-Kaplan-1995-details.md		
010	Altman Dialectics	Dialectic Conceptions in Social Psychology: An Application to Social Penetration and Privacy Regulation	Irwin Altman, Anne Vinsel, and Barbara B. Brown	1981	Altman_Dialectics_Altman_1981_core.md		
010	Altman Dialectics	Dialectic Conceptions in Social Psychology: An Application to Social Penetration and Privacy Regulation	Irwin Altman, Anne Vinsel, and Barbara B. Brown	1981	Altman_Dialectics_Altman_1981_details.md		
020	Cognitive Motivational Relational Theory of Emotion	Progress on a Cognitive-Motivational-Relational Theory of Emotion	Richard S. Lazarus	1991	Cognitive_Motivational_Relational_Theory_of_Emotion-Lazarus-1991-core.md		
032	Southworth & Parthasarathy on New Urbanism	The Suburban Public Realm I & II: Emergence, Growth, Transformation and Implications	Southworth & Parthasarathy	1996-1997	New_Urbanism-Southworth-1997-core.md		
032	Suburban Public Realm Framework	The Suburban Public Realm I & II: Emergence, Growth, Transformation and Implications	Southworth & Parthasarathy	1996-1997	New_Urbanism-Southworth-1997-details.md		
025	Stress Reduction Theory	Stress Recovery During Exposure to Natural and Urban Environments	Roger S. Ulrich et al.	1991	SRT-Ulrich-1991-core.md		
025	Stress Reduction Theory	Stress Recovery During Exposure to Natural and Urban Environments	Roger S. Ulrich et al.	1991	SRT-Ulrich-1991-details.md		
023	Social Cognitive Theory	Social Cognitive Theory: An Agentic Perspective	Albert Bandura	2001	Social_Cognitive_Theory-Bandura-2001-core.md		
023	Social Cognitive Theory	Social Cognitive Theory: An Agentic Perspective	Albert Bandura	2001	Social_Cognitive_Theory-Bandura-2001-details.md		
028	Capability Approach	The Capability Approach and Disability	Sophie Mitra	2006	The Capability Approach and Disability_Mitra_2006_core.md		
