domain	kb_version	paper_id	theory	paper_title	author	year	kb_file	doi	link
ep-core	v0.2.1	031	Attention Restoration Theory	The Restorative Benefits of Nature: Toward an Integrative Framework	Stephen Kaplan	1995	ART-Kaplan-1995-core.md	10.1016/0272-4944(95)90001-2	https://doi.org/10.1016/0272-4944(95)90001-2
ep-core	v0.2.1	031	Attention Restoration Theory	The Restorative Benefits of Nature: Toward an Integrative Framework	Stephen Kaplan	1995	ART-Kaplan-1995-details.md	10.1016/0272-4944(95)90001-2	https://doi.org/10.1016/0272-4944(95)90001-2
ep-core	v0.2.1	010	Altman Dialectics	Dialectic Conceptions in Social Psychology: An Application to Social Penetration and Privacy Regulation	Irwin Altman, Anne Vinsel, and Barbara B. Brown	1981	Altman_Dialectics_Altman_1981_core.md	10.1016/s0065-2601(08)60371-8	https://doi.org/10.1016/s0065-2601(08)60371-8
ep-core	v0.2.1	010	Altman Dialectics	Dialectic Conceptions in Social Psychology: An Application to Social Penetration and Privacy Regulation	Irwin Altman, Anne Vinsel, and Barbara B. Brown	1981	Altman_Dialectics_Altman_1981_details.md	10.1016/s0065-2601(08)60371-8	https://doi.org/10.1016/s0065-2601(08)60371-8
ep-core	v0.2.1	020	Cognitive Motivational Relational Theory of Emotion	Progress on a Cognitive-Motivational-Relational Theory of Emotion	Richard S. Lazarus	1991	Cognitive_Motivational_Relational_Theory_of_Emotion-Lazarus-1991-core.md	10.1037/0003-066x.46.8.819	https://doi.org/10.1037/0003-066x.46.8.819
ep-core	v0.2.1	032	Southworth & Parthasarathy on New Urbanism	The Suburban Public Realm I & II: Emergence, Growth, Transformation and Implications	Southworth & Parthasarathy	1996-1997	New_Urbanism-Southworth-1997-core.md	10.1080/13574809608724385	https://doi.org/10.1080/13574809608724385
ep-core	v0.2.1	032	Suburban Public Realm Framework	The Suburban Public Realm I & II: Emergence, Growth, Transformation and Implications	Southworth & Parthasarathy	1996-1997	New_Urbanism-Southworth-1997-details.md	10.1080/13574809608724385	https://doi.org/10.1080/13574809608724385
ep-core	v0.2.1	025	Stress Reduction Theory	Stress Recovery During Exposure to Natural and Urban Environments	Roger S. Ulrich et al.	1991	SRT-Ulrich-1991-core.md	10.1016/s0272-4944(05)80184-7	https://doi.org/10.1016/s0272-4944(05)80184-7
ep-core	v0.2.1	025	Stress Reduction Theory	Stress Recovery During Exposure to Natural and Urban Environments	Roger S. Ulrich et al.	1991	SRT-Ulrich-1991-details.md	10.1016/s0272-4944(05)80184-7	https://doi.org/10.1016/s0272-4944(05)80184-7
ep-core	v0.2.1	023	Social Cognitive Theory	Social Cognitive Theory: An Agentic Perspective	Albert Bandura	2001	Social_Cognitive_Theory-Bandura-2001-core.md	10.1146/annurev.psych.52.1.1	https://doi.org/10.1146/annurev.psych.52.1.1
ep-core	v0.2.1	023	Social Cognitive Theory	Social Cognitive Theory: An Agentic Perspective	Albert Bandura	2001	Social_Cognitive_Theory-Bandura-2001-details.md	10.1146/annurev.psych.52.1.1	https://doi.org/10.1146/annurev.psych.52.1.1
ep-core	v0.2.1	028	Capability Approach	The Capability Approach and Disability	Sophie Mitra	2006	The Capability Approach and Disability_Mitra_2006_core.md	10.1177/10442073060160040501	https://doi.org/10.1177/10442073060160040501
ep-core	v0.2.1	022	The Affect Heuristic and Risk as Feelings	Risk as Analysis and Risk as Feelings: Some Thoughts about Affect, Reason, Risk, and Rationality	Slovic et al.	2004	The_Affect_Heuristic_and_Risk_as_Feelings_Slovic_et_al_2004_core.md	10.1111/j.0272-4332.2004.00433.x	https://doi.org/10.1111/j.0272-4332.2004.00433.x
