theory	paper_title	author	year	kb_file	doi	link
Attention Restoration Theory	The Restorative Benefits of Nature: Toward an Integrative Framework	Stephen Kaplan	1995	ART-Kaplan-1995-core.md	10.1016/0272-4944(95)90001-2	https://doi.org/10.1016/0272-4944(95)90001-2
Attention Restoration Theory	The Restorative Benefits of Nature: Toward an Integrative Framework	Stephen Kaplan	1995	ART-Kaplan-1995-details.md	10.1016/0272-4944(95)90001-2	https://doi.org/10.1016/0272-4944(95)90001-2
Altman Dialectics	Dialectic Conceptions in Social Psychology: An Application to Social Penetration and Privacy Regulation	Irwin Altman, Anne Vinsel, and Barbara B. Brown	1981	Altman_Dialectics_Altman_1981_core.md	10.1016/s0065-2601(08)60371-8	https://doi.org/10.1016/s0065-2601(08)60371-8
Altman Dialectics	Dialectic Conceptions in Social Psychology: An Application to Social Penetration and Privacy Regulation	Irwin Altman, Anne Vinsel, and Barbara B. Brown	1981	Altman_Dialectics_Altman_1981_details.md	10.1016/s0065-2601(08)60371-8	https://doi.org/10.1016/s0065-2601(08)60371-8
Cognitive Motivational Relational Theory of Emotion	Progress on a Cognitive-Motivational-Relational Theory of Emotion	Richard S. Lazarus	1991	Cognitive_Motivational_Relational_Theory_of_Emotion-Lazarus-1991-core.md	10.1037/0003-066x.46.8.819	https://doi.org/10.1037/0003-066x.46.8.819
Southworth & Parthasarathy on New Urbanism	The Suburban Public Realm I & II: Emergence, Growth, Transformation and Implications	Southworth & Parthasarathy	1996-1997	New_Urbanism-Southworth-1997-core.md	10.1080/13574809608724385	https://doi.org/10.1080/13574809608724385
Suburban Public Realm Framework	The Suburban Public Realm I & II: Emergence, Growth, Transformation and Implications	Southworth & Parthasarathy	1996-1997	New_Urbanism-Southworth-1997-details.md	10.1080/13574809608724385	https://doi.org/10.1080/13574809608724385
Stress Reduction Theory	Stress Recovery During Exposure to Natural and Urban Environments	Roger S. Ulrich et al.	1991	SRT-Ulrich-1991-core.md	10.1016/s0272-4944(05)80184-7	https://doi.org/10.1016/s0272-4944(05)80184-7
Stress Reduction Theory	Stress Recovery During Exposure to Natural and Urban Environments	Roger S. Ulrich et al.	1991	SRT-Ulrich-1991-details.md	10.1016/s0272-4944(05)80184-7	https://doi.org/10.1016/s0272-4944(05)80184-7
Social Cognitive Theory	Social Cognitive Theory: An Agentic Perspective	Albert Bandura	2001	Social_Cognitive_Theory-Bandura-2001-core.md	10.1146/annurev.psych.52.1.1	https://doi.org/10.1146/annurev.psych.52.1.1
Social Cognitive Theory	Social Cognitive Theory: An Agentic Perspective	Albert Bandura	2001	Social_Cognitive_Theory-Bandura-2001-details.md	10.1146/annurev.psych.52.1.1	https://doi.org/10.1146/annurev.psych.52.1.1
